 tabs,  channels, packets, size, real, user, sys, program
  12,  1536,   50, 1757.81, 47.513, 46.923, 0.533, naive
  12,  1536,   50, 1757.81, 47.541, 46.998, 0.487, naive
  12, 1536,    1,   35.16, 0.219, 0.201, 0.018, naive_optimized
  12, 1536,    2,   70.31, 0.409, 0.390, 0.018, naive_optimized
  12, 1536,    3,  105.47, 0.606, 0.571, 0.034, naive_optimized
  12, 1536,    4,  140.62, 0.809, 0.766, 0.041, naive_optimized
  12, 1536,    5,  175.78, 1.004, 0.944, 0.058, naive_optimized
  12, 1536,    6,  210.94, 1.202, 1.139, 0.061, naive_optimized
  12, 1536,    7,  246.09, 1.419, 1.343, 0.072, naive_optimized
  12, 1536,    8,  281.25, 1.615, 1.529, 0.081, naive_optimized
  12, 1536,    9,  316.41, 1.793, 1.715, 0.075, naive_optimized
  12, 1536,   10,  351.56, 1.990, 1.892, 0.095, naive_optimized
  12, 1536,   11,  386.72, 2.209, 2.075, 0.131, naive_optimized
  12, 1536,   12,  421.88, 2.388, 2.271, 0.112, naive_optimized
  12, 1536,   13,  457.03, 2.585, 2.461, 0.120, naive_optimized
  12, 1536,   14,  492.19, 2.783, 2.645, 0.135, naive_optimized
  12, 1536,   15,  527.34, 2.982, 2.823, 0.155, naive_optimized
  12, 1536,   16,  562.50, 3.188, 3.026, 0.158, naive_optimized
  12, 1536,   17,  597.66, 3.372, 3.196, 0.171, naive_optimized
  12, 1536,   18,  632.81, 3.566, 3.381, 0.180, naive_optimized
  12, 1536,   19,  667.97, 3.766, 3.577, 0.184, naive_optimized
  12, 1536,   20,  703.12, 3.965, 3.770, 0.190, naive_optimized
  12, 1536,   21,  738.28, 4.161, 3.921, 0.234, naive_optimized
  12, 1536,   22,  773.44, 4.354, 4.133, 0.215, naive_optimized
  12, 1536,   23,  808.59, 4.553, 4.302, 0.245, naive_optimized
  12, 1536,   24,  843.75, 4.757, 4.484, 0.266, naive_optimized
  12, 1536,   25,  878.91, 4.950, 4.687, 0.256, naive_optimized
  12, 1536,   26,  914.06, 5.148, 4.882, 0.258, naive_optimized
  12, 1536,   27,  949.22, 5.344, 5.055, 0.282, naive_optimized
  12, 1536,   28,  984.38, 5.550, 5.257, 0.286, naive_optimized
  12, 1536,   29, 1019.53, 5.738, 5.442, 0.288, naive_optimized
  12, 1536,   30, 1054.69, 5.943, 5.645, 0.290, naive_optimized
  12, 1536,   31, 1089.84, 6.136, 5.845, 0.282, naive_optimized
  12, 1536,   32, 1125.00, 6.352, 6.015, 0.328, naive_optimized
  12, 1536,   33, 1160.16, 6.564, 6.226, 0.327, naive_optimized
  12, 1536,   34, 1195.31, 6.722, 6.385, 0.328, naive_optimized
  12, 1536,   35, 1230.47, 6.932, 6.536, 0.385, naive_optimized
  12, 1536,   36, 1265.62, 7.136, 6.761, 0.364, naive_optimized
  12, 1536,   37, 1300.78, 7.327, 6.970, 0.346, naive_optimized
  12, 1536,   38, 1335.94, 7.526, 7.093, 0.422, naive_optimized
  12, 1536,   39, 1371.09, 7.727, 7.325, 0.389, naive_optimized
  12, 1536,   40, 1406.25, 7.931, 7.544, 0.375, naive_optimized
  12, 1536,   41, 1441.41, 8.193, 7.770, 0.410, naive_optimized
  12, 1536,   42, 1476.56, 8.321, 7.904, 0.405, naive_optimized
  12, 1536,   43, 1511.72, 8.530, 8.105, 0.411, naive_optimized
  12, 1536,   44, 1546.88, 8.806, 8.325, 0.467, naive_optimized
  12, 1536,   45, 1582.03, 8.926, 8.463, 0.450, naive_optimized
  12, 1536,   46, 1617.19, 9.106, 8.618, 0.473, naive_optimized
  12, 1536,   47, 1652.34, 9.287, 8.787, 0.486, naive_optimized
  12, 1536,   48, 1687.50, 9.503, 9.041, 0.447, naive_optimized
  12, 1536,   49, 1722.66, 9.710, 9.207, 0.488, naive_optimized
  12, 1536,   50, 1757.81, 9.887, 9.341, 0.530, naive_optimized
  12,     4,    50,    4.58,  0.131,  0.128, 0.002, naive
  12,     8,    50,    9.16,  0.249,  0.240, 0.008, naive
  12,    12,    50,   13.73,  0.372,  0.364, 0.007, naive
